Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Salt,trace,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 3 portions,,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1430kJ/338kcal,,Morrisons Eat Smart Apple Crisps  20g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,286kJ/68kcal,3%,,,,,,
Fat ,0.7g,,Morrisons Eat Smart Apple Crisps  20g,,,70g,,,,,,,,,,,,,,,,,,,,,,,,0.1g,<1%,,,,,,
of which saturates ,0.1g,,Morrisons Eat Smart Apple Crisps  20g,,,20g,,,,,,,,,,,,,,,,,,,,,,,,trace,<1%,,,,,,
Carbohydrate ,75.3g,,Morrisons Eat Smart Apple Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1g,,,,,,,
of which sugars ,70.1g,,Morrisons Eat Smart Apple Crisps  20g,,,90g,,,,,,,,,,,,,,,,,,,,,,,,14g,16%,,,,,,
Fibre ,11.4g,,Morrisons Eat Smart Apple Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3g,,,,,,,
Protein ,1.9g,,Morrisons Eat Smart Apple Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,
Salt ,trace,,Morrisons Eat Smart Apple Crisps  20g,,,6g,,,,,,,,,,,,,,,,,,,,,,,,trace,<1%,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Eat Smart Apple Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2542kJ/615kcal,,Morrisons Salted Pistachios 260g,1017kJ/246kcal,12%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,55.4g,,Morrisons Salted Pistachios 260g,22.2g,32%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,7.4g,,Morrisons Salted Pistachios 260g,3g,15%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,8.2g,,Morrisons Salted Pistachios 260g,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,5.7g,,Morrisons Salted Pistachios 260g,2.3g,3%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,6.1g,,Morrisons Salted Pistachios 260g,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,17.9g,,Morrisons Salted Pistachios 260g,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,1.33g,,Morrisons Salted Pistachios 260g,0.53g,9%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Salted Pistachios 260g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 7 portions,,,Morrisons Salted Pistachios 260g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2403kJ/579kcal,,Morrisons Wholefoods Pumpkin Seeds  300g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,601kJ/145kcal,7%,,,,
Fat ,45.6g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,70g,,,,,,,,,,,,,,,,,,,,,,,,,,11.4g,16%,,,,
of which saturates ,7g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,20g,,,,,,,,,,,,,,,,,,,,,,,,,,1.8g,9%,,,,
Carbohydrate ,15.2g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8g,,,,,
of which sugars ,1.1g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,90g,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,<1%,,,,
Fibre,5.3,,Morrisons Wholefoods Pumpkin Seeds  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,
Protein ,24.4g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1g,,,,,
Salt ,0.05g,,Morrisons Wholefoods Pumpkin Seeds  300g,,,6g,,,,,,,,,,,,,,,,,,,,,,,,,,trace,<1,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Wholefoods Pumpkin Seeds  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 12 portions,,,Morrisons Wholefoods Pumpkin Seeds  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1823kJ/436kcal,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,729kJ/175kcal,9%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,22.6g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,9g,13%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,4.8g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,1.9g,10%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,41.5g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,16.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,39.4g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,15.8g,18%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,6.7g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,13.4g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.05g,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,trace,<1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Peanuts Raisins & Chocolate Raisins 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Pineapple  130g,,,,,192kJ/45kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Pineapple  130g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,Morrisons Pineapple  130g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Pineapple  130g,,,,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,Morrisons Pineapple  130g,,,,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Pineapple  130g,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Pineapple  130g,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Pineapple  130g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2562kJ,,Morrisons Thai Sweet Chilli Peanuts 200g,,,8400kJ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025kJ,,,
,618kcal,,Morrisons Thai Sweet Chilli Peanuts 200g,,12%,2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,247kcal,,,
Fat ,49.6g,,Morrisons Thai Sweet Chilli Peanuts 200g,,28%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8g,,,
of which saturates ,9.1g,,Morrisons Thai Sweet Chilli Peanuts 200g,,18%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6g,,,
Carbohydrate ,13.8g,,Morrisons Thai Sweet Chilli Peanuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5g,,,
of which sugars ,6.1g,,Morrisons Thai Sweet Chilli Peanuts 200g,,3%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4g,,,
Fibre ,5.8g,,Morrisons Thai Sweet Chilli Peanuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3g,,,
Protein ,26.2g,,Morrisons Thai Sweet Chilli Peanuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5g,,,
Salt ,1.1g,,Morrisons Thai Sweet Chilli Peanuts 200g,,7%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44g,,,
Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Thai Sweet Chilli Peanuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Thai Sweet Chilli Peanuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Melon Slices  450g,,,,,104kJ/25kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Melon Slices  450g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Melon Slices  450g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Melon Slices  450g,,,,,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Melon Slices  450g,,,,,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Melon Slices  450g,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Melon Slices  450g,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Melon Slices  450g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 5 portions,,,Morrisons Melon Slices  450g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,192kJ/45kcal,,Morrisons Pineapple Fingers 500g,,,8400kJ/2000kcal,154kJ/36kcal,,,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,
Fat,0.2g,,Morrisons Pineapple Fingers 500g,,,70g,0.2g,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,,,
of which saturates,trace,,Morrisons Pineapple Fingers 500g,,,20g,trace,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,,,
Carbohydrate,9.7g,,Morrisons Pineapple Fingers 500g,,,,7.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,9.7g,,Morrisons Pineapple Fingers 500g,,,90g,7.8g,,,,,,,,,,,,,,,,,,,9%,,,,,,,,,,,
Fibre,1.6g,,Morrisons Pineapple Fingers 500g,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,0.4g,,Morrisons Pineapple Fingers 500g,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,trace,,Morrisons Pineapple Fingers 500g,,,6g,trace,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Pineapple Fingers 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 6 portions,,,Morrisons Pineapple Fingers 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,1320kJ/313kcal,,Morrisons Eat Smart Beetroot Crisps  20g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,264kJ/63kcal,3%,,,,,,
Fat,0.4g,,Morrisons Eat Smart Beetroot Crisps  20g,,,70g,,,,,,,,,,,,,,,,,,,,,,,,0.1g,<1%,,,,,,
of which saturates,0.1g,,Morrisons Eat Smart Beetroot Crisps  20g,,,20g,,,,,,,,,,,,,,,,,,,,,,,,trace,<1%,,,,,,
Carbohydrate,52g,,Morrisons Eat Smart Beetroot Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4g,,,,,,,
of which sugars,50.7g,,Morrisons Eat Smart Beetroot Crisps  20g,,,90g,,,,,,,,,,,,,,,,,,,,,,,,10.1g,11%,,,,,,
Fibre,20.5g,,Morrisons Eat Smart Beetroot Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1g,,,,,,,
Protein,15.1g,,Morrisons Eat Smart Beetroot Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,3g,,,,,,,
Salt,0.71g,,Morrisons Eat Smart Beetroot Crisps  20g,,,6g,,,,,,,,,,,,,,,,,,,,,,,,0.14g,2%,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Eat Smart Beetroot Crisps  20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Fruit Finger Platter 400g,,,,,203kJ/48kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Fruit Finger Platter 400g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Fruit Finger Platter 400g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Fruit Finger Platter 400g,,,,,10.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Fruit Finger Platter 400g,,,,,10.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Fruit Finger Platter 400g,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Fruit Finger Platter 400g,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Fruit Finger Platter 400g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Fruit Finger Platter 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1123kJ,,Morrisons Wholefoods Dates 500g,,,8400kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562kJ,,
,265kcal,,Morrisons Wholefoods Dates 500g,,,2000kcal,,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,133kcal,,
Fat ,trace,,Morrisons Wholefoods Dates 500g,,,70g,,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,trace,,
 of which saturates ,trace,,Morrisons Wholefoods Dates 500g,,,20g,,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,trace,,
Carbohydrate ,59.8g,,Morrisons Wholefoods Dates 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9g,,
 of which sugars ,57.4g,,Morrisons Wholefoods Dates 500g,,,90g,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,28.7g,,
Fibre ,8.7g,,Morrisons Wholefoods Dates 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4g,,
Protein ,2.1g,,Morrisons Wholefoods Dates 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1g,,
Salt ,0.1g,,Morrisons Wholefoods Dates 500g,,,6g,,,,,,,,,,,,,,,,,,,,<1%,,,,,,,,,trace,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Wholefoods Dates 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 10 portions,,,Morrisons Wholefoods Dates 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1078kJ/255kcal,,Morrisons Prunes 250g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,323kJ/76kcal,,,,,,,,,,,4%,
Fat ,0.4g,,Morrisons Prunes 250g,,,70g,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,<1%,
 of which saturates ,0.1g,,Morrisons Prunes 250g,,,20g,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,<1%,
Carbohydrate ,57g,,Morrisons Prunes 250g,,,,,,,,,,,,,,,,,,,,,,17g,,,,,,,,,,,,
 of which sugars ,38g,,Morrisons Prunes 250g,,,90g,,,,,,,,,,,,,,,,,,,11g,,,,,,,,,,,12%,
Fibre ,7.1g,,Morrisons Prunes 250g,,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,
Protein ,2.2g,,Morrisons Prunes 250g,,,,,,,,,,,,,,,,,,,,,,0.7g,,,,,,,,,,,,
Salt ,trace,,Morrisons Prunes 250g,,,6g,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,<1%,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Prunes 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 8 portions,,,Morrisons Prunes 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Apple Grape & Cheese 150g,,,,,456kJ/109kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Apple Grape & Cheese 150g,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Apple Grape & Cheese 150g,,,,,3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Apple Grape & Cheese 150g,,,,,11.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Apple Grape & Cheese 150g,,,,,11.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Apple Grape & Cheese 150g,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Apple Grape & Cheese 150g,,,,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Apple Grape & Cheese 150g,,,,,0.62g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,340kJ/81kcal,,Morrisons Mango Fingers 410g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,279kJ/66kcal
Fat,2.3g,,Morrisons Mango Fingers 410g,,,70g,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,1.9g
of which saturates,1.6g,,Morrisons Mango Fingers 410g,,,20g,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,1.3g
Carbohydrate,13.9g,,Morrisons Mango Fingers 410g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4g
of which sugars,10.7g,,Morrisons Mango Fingers 410g,,,90g,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,8.8g
Fibre,1.3g,,Morrisons Mango Fingers 410g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1g
Protein,0.6g,,Morrisons Mango Fingers 410g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5g
Salt,0.05g,,Morrisons Mango Fingers 410g,,,6g,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,trace
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Mango Fingers 410g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Mango Fingers 410g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
