Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Carbohydrate ,77.9g,,Morrisons Cranberries  80g,,,,,,15.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,66.8g,,Morrisons Cranberries  80g,,,,,,13.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,5.1g,,Morrisons Cranberries  80g,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.3g,,Morrisons Cranberries  80g,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons Cranberries  80g,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 4 portions,,,Morrisons Cranberries  80g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,246kJ/58kcal,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.2g,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,nil,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,12.9g,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,12.9g,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,0.9g,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.7g,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons  Berry Medley  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1634kJ/390kcal,,Morrisons Trail Mix 200g,654kJ/156kcal,8%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,15.6g,,Morrisons Trail Mix 200g,6.2g,9%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,2.4g,,Morrisons Trail Mix 200g,1g,5%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,46.4g,,Morrisons Trail Mix 200g,18.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,29.6g,,Morrisons Trail Mix 200g,11.8g,13%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,8g,,Morrisons Trail Mix 200g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,12g,,Morrisons Trail Mix 200g,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons Trail Mix 200g,trace,<1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Trail Mix 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 5 portions,,,Morrisons Trail Mix 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,Morrisons Roasted Monkey Nuts  200g,,12%,8400kJ/2000kcal,,,,2434kJ/586kcal,973kJ/234kcal,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,Morrisons Roasted Monkey Nuts  200g,,25%,70g,,,,43.6g,17.4g,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,Morrisons Roasted Monkey Nuts  200g,,18%,20g,,,,8.9g,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,Morrisons Roasted Monkey Nuts  200g,,,,,,,19.2g,7.7g,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,Morrisons Roasted Monkey Nuts  200g,,3%,90g,,,,6.8g,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,Morrisons Roasted Monkey Nuts  200g,,,,,,,5g,2g,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,Morrisons Roasted Monkey Nuts  200g,,,,,,,26.7g,10.7g,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,Morrisons Roasted Monkey Nuts  200g,,<1%,6g,,,,0.05g,trace,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Roasted Monkey Nuts  200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Roasted Monkey Nuts  200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,241kJ/57kcal,,Morrisons Snack Apple Bag  80g,,,,,,,,,193kJ/46kcal,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.1g,,Morrisons Snack Apple Bag  80g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,nil,,Morrisons Snack Apple Bag  80g,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,12.4g,,Morrisons Snack Apple Bag  80g,,,,,,,,,9.9g,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,12.4g,,Morrisons Snack Apple Bag  80g,,,,,,,,,9.9g,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,2.7g,,Morrisons Snack Apple Bag  80g,,,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.3g,,Morrisons Snack Apple Bag  80g,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,
