Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
Salt ,,Veetee Long Grain Rice 300g,,,0.15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Servings per Pack: 2, Serving Size: 150g",,Veetee Long Grain Rice 300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,10%,,,,,1553kJ,885kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,10%,,,,,367kcal,209kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,2%,,,,,2.3g,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,2%,,,,,0.5g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,,,,,,71.2g,40.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,2%,,,,,3.0g,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,,,,,,4.1g,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,,,,,,13.2g,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,8%,,,,,0.79g,0.45g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ / 2000kcal),,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pack contains approximately 6 portions,,Sharwood's Fine Egg Noodles 340g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,592 kJ,1931 kJ,2279 kJ,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,143 kcal,467 kcal,551 kcal,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,5.5 g,18 g,21 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,2.6 g,8.6 g,10 g,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,20 g,64 g,77 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,0.9 g,2.9 g,3.5 g,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,1.3 g,4.4 g,5 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,3.2 g,10 g,12 g,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,0.4 g,1.3 g,1.5 g,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 385 g. ( Pack contains 1 portions ),,King Pot Noodle Bombay Bad Boy 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,617kJ/146kcal,864kJ/204kcal,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,70g,,,,,,,,,,,,,,,,,,,,,,1.1g,1.5g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,20g,,,,,,,,,,,,,,,,,,,,,,0.3g,0.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7g,38.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,90g,,,,,,,,,,,,,,,,,,,,,,1.2g,1.6g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6g,7.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,6g,,,,,,,,,,,,,,,,,,,,,,0.29g,0.41g,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,Morrisons Mediterranean Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,595 kJ,1926 kJ,1809 kJ,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,143 kcal,463 kcal,435 kcal,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,5.4 g,17 g,16 g,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,2.6 g,8.6 g,7.9 g,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,19 g,62 g,58 g,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,3.3 g,11 g,10 g,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,1.1 g,3.5 g,3.3 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,4 g,13 g,12 g,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,0.59 g,1.9 g,1.8 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 304 g. ( Pack contains 1 portions ),,Pot Noodle Chicken Korma 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,8400kJ/2000kcal,,,,,,,,,16%,,,,,,,,,,,,,471kJ/112kcal,,,1311kJ/312kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,70g,,,,,,,,,13%,,,,,,,,,,,,,3.3g,,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,20g,,,,,,,,,21%,,,,,,,,,,,,,1.5g,,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1g,,,47.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,90g,,,,,,,,,3%,,,,,,,,,,,,,0.9g,,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7g,,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,6g,,,,,,,,,23%,,,,,,,,,,,,,0.50g,,,1.39g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Savers Curry Noodle Snack Pot 70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,322kJ,,,,,,,,,,,,,12%,,,,,,,,,,,,,,,,,,1014kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,76kcal,,,,,,,,,,,,,12%,,,,,,,,,,,,,,,,,,239kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,<0.5g,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,0.1g,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,16.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,1.6g,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,0.46g,,,,,,,,,,,,,24%,,,,,,,,,,,,,,,,,,1.45g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ/2000kcal),,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,8400kJ,,,,,,,,,,,,,,,,746kJ,821kJ,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,2000kcal,,,,,,,,,,,,,,,,177kcal,194kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,70g,,,,,,,,,,,,,,,,2.2g,2.4g,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,20g,,,,,,,,,,,,,,,,0.4g,0.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,,,,,,,,,,,,,,,,,33.3g,36.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,90g,,,,,,,,,,,,,,,,0.4g,0.4g,<1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,,,,,,,,,,,,,,,,,2.8g,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,,,,,,,,,,,,,,,,,4.5g,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,6g,,,,,,,,,,,,,,,,0.12g,0.13g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,Morrisons Microwave Pearl Wheat Quinoa & Wholegrain Rice  220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355kJ (84kcal),1200kJ (284kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8g,50.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,9.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53g,1.77g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot provides 1 serving,,Naked Noodle Egg Noodles Thai Green Curry  78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,603 kJ,1051 kJ,1834 kJ,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,143 kcal,249 kcal,434 kcal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,5.9 g,2.1 g,18 g,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,2.9 g,<0.1 g,8.7 g,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
