Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Carbohydrate ,,,,,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,3.3g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,1%,90g,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,3.3g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,0.6g,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,33.5g,,,,,,,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,12%,6g,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,3.29g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Old English Cure Bacon 200g,£2.65,['/productImages/341/341195011_0_640x640.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e'],https://groceries.morrisons.com//products/morrisons-the-best-old-english-cure-bacon-341195011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,8400kJ,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,1158kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7%,2000kcal,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,279kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,15%,70g,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,20.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,19%,20g,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,7.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,20.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,11%,6g,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,1.35g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Cheese & Black Pepper Sausages 400g,£2.50,['/productImages/533/533936011_0_640x640.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c'],https://groceries.morrisons.com//products/morrisons-the-best-cheese-black-pepper-sausages-533936011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(kcal),,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13g,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1g,6.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.5g,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.5g,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.5g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25g,37g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,,Gressingham Duck Crown 900g,£6,['/productImages/297/297944011_0_640x640.jpg?identifier=8548f9805e72258d5d2430dd522b0554'],https://groceries.morrisons.com//products/gressingham-duck-crown-297944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28g,0.42g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,14%,8400kJ/2000kcal,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876kJ/208kcal,1148kJ/272kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,10%,70g,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5g,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,15%,20g,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3g,3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3g,17.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,18%,90g,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12g,15.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26g,34.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,19%,6g,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85g,1.11g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Slow Cooked Bbq Beef Burnt Ends 380g,£4,['/productImages/513/513022011_0_640x640.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4'],https://groceries.morrisons.com//products/morrisons-slow-cooked-bbq-beef-burnt-ends-513022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,7%,8400kJ/2000kcal,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,571kJ/136kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,7%,70g,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,11%,20g,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,0%,90g,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,22.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,3%,6g,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,0.16g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Beef Denver Steak 300g,£3.50,['/productImages/402/402012011_0_640x640.jpg?identifier=3ad91f1efa09e569cfdb09007b428677'],https://groceries.morrisons.com//products/morrisons-market-st-beef-denver-steak-402012011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,10%,8400kJ/2000kcal,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418kJ/98kcal,827kJ/195kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,2%,70g,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,2%,20g,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,,,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7g,13.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,0%,90g,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6g,32.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,16%,6g,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48g,0.95g,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Market St White Shell Clams 500g,£4,['/productImages/395/395729011_0_640x640.jpg?identifier=c432462eace77539a032bb13df9a5f36'],https://groceries.morrisons.com//products/morrisons-market-st-white-shell-clams-395729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,,8400kJ/2000kcal,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,649kJ/155kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882kJ/211kcal,11%,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,,70g,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2g,15%,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,,20g,Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes 290g,£2.60,['/productImages/405/405401011_0_640x640.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894'],https://groceries.morrisons.com//products/morrisons-the-best-naked-smoked-haddock-applewood-cheddar-fishcakes-405401011,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3g,15%,,,,,,,,,,,,,,,,,,,,,,,,,
