item_name,price,image_url
                  Morrisons The Best Thick Pork & C…                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/116/116089011_0_150x150.jpg?identifier=2234779cede203de8c68da0b641173b8
                  Morrisons Slow Cooked Bbq Beef Burnt Ends                                  380g                 ,               £4              ,https://groceries.morrisons.com/productImages/513/513022011_0_150x150.jpg?identifier=3eb9d4955a8b25ba98a2ce9ddbe5a2b4
                  Morrisons Market St Beef Denver Steak                                  300g                 ,               £3.50              ,https://groceries.morrisons.com/productImages/402/402012011_0_150x150.jpg?identifier=3ad91f1efa09e569cfdb09007b428677
                  Morrisons Market St White Shell Clams                                  500g                 ,               £4              ,https://groceries.morrisons.com/productImages/395/395729011_0_150x150.jpg?identifier=c432462eace77539a032bb13df9a5f36
                  Morrisons The Best Salmon & Cod Fishc…                                  290g                 ,               £2.60              ,https://groceries.morrisons.com/productImages/395/395708011_0_150x150.jpg?identifier=5eb7f16ee892260b41658103ed5007b1
                  Morrisons Spring Lamb Shoulder Roast Whole                                  Typically: 2.2kg                 ,               £13.20              ,https://groceries.morrisons.com/productImages/213/213609011_0_150x150.jpg?identifier=5121e696f58214f40c97be0980eaec7e
                  Morrisons Market St Raw Peele…                                  150g                 ,               £4              ,https://groceries.morrisons.com/productImages/395/395727011_0_150x150.jpg?identifier=b3f081cf024b360a8ed15e5a57a6b43d
                  Morrisons The Best Chunky Thai…                                  290g                 ,               £2.60              ,https://groceries.morrisons.com/productImages/292/292953011_0_150x150.jpg?identifier=be0b7ec70ca51ba1ac5cebc10048b6d2
                  Morrisons The Best Smoked Hampshire Breed T…                                  200g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/410/410697011_0_150x150.jpg?identifier=d7749b60a1764dc1e55c3bccd2d67a18
                  Morrisons Frozen Cooked Mussel Meat                                  500g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355939011_0_150x150.jpg?identifier=ab2bbad0f26cf393bfb69a6f8e50ba21
                  Morrisons Market St Cooked Cockles 200G                                  200g                 ,               £4              ,https://groceries.morrisons.com/productImages/413/413097011_0_150x150.jpg?identifier=b0d9c47c03b78b7778d182367f1658a0
                  Morrisons Market St Raw Hand Prepared Whole Squid                                  350g                 ,               £4              ,https://groceries.morrisons.com/productImages/412/412989011_0_150x150.jpg?identifier=4a2041300f672b11d6bff62a5d75e764
                  Morrisons The Best Old English Cure Bacon                                  200g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/341/341195011_0_150x150.jpg?identifier=8ba6c07c57537ad5569617b2f8e3429e
                  Morrisons The Best Naked Smok…                                  290g                 ,               £2.60              ,https://groceries.morrisons.com/productImages/405/405401011_0_150x150.jpg?identifier=5ba22b6648482a4c406c83e4c5a5e894
                  Morrisons Frozen Cooked Half Shell Mussels                                  400g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355944011_0_150x150.jpg?identifier=3a1a2880b1267b7639556c06c49db288
                  Morrisons Market St Whitebait                                  600g                 ,               £4              ,https://groceries.morrisons.com/productImages/395/395041011_0_150x150.jpg?identifier=0d1ee1a492bcabee1273b928862316b4
                  Morrisons Market St Argentinian Red Shrimp                                  200g                 ,               £4              ,https://groceries.morrisons.com/productImages/395/395042011_0_150x150.jpg?identifier=033da190d2ba55894dcbd601c8518273
                  Morrisons Market St Raw Squid Rings                                  300g                 ,               £4              ,https://groceries.morrisons.com/productImages/412/412988011_0_150x150.jpg?identifier=092ec536c09606628bed2c5a3fe335bc
                  Morrisons Frozen Raw Razor Clams                                  500g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355941011_0_150x150.jpg?identifier=4a5052c3d7f369293c015d0d5a027155
                  Morrisons The Best 6 Gluten Free Hot And Spicy Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/484/484340011_0_150x150.jpg?identifier=d70662cb2fbcb542271d66c4c4605027
                  Morrisons Beef Roasting Joint                 ,               £7.98              ,https://groceries.morrisons.com/productImages/422/422079011_0_150x150.jpg?identifier=8fb69d813aa8b9a81ef4fe7919e4626b
                  Morrisons British Pork Leg Joint                 ,               £2.27              ,https://groceries.morrisons.com/productImages/213/213650011_0_150x150.jpg?identifier=e743dbd9af76c4accd11d71f4b3fa6a2
                  Morrisons Market St 2 Haddock Fillets                                  230g                 ,               £4              ,https://groceries.morrisons.com/productImages/482/482594011_0_150x150.jpg?identifier=004f65b843a5bc5de578e0dcfbe87fbc
                  Morrisons The Best Reduced Fat Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/403/403267011_0_150x150.jpg?identifier=37e7f0b03c522a5aa53e7d1541c23c18
